date,time,temp,humid,condition
2018/1/3,7:00 AM,43,87,Light Rain Shower / Windy
2018/1/3,7:30 AM,43,87,Partly Cloudy / Windy
2018/1/3,8:00 AM,43,81,Partly Cloudy / Windy
2018/1/3,8:30 AM,45,76,Mostly Cloudy / Windy
2018/1/3,9:00 AM,45,81,Mostly Cloudy / Windy
2018/1/3,9:30 AM,45,81,Mostly Cloudy / Windy
2018/1/3,10:00 AM,45,76,Fair / Windy
2018/1/3,10:30 AM,45,76,Fair / Windy
2018/1/3,11:00 AM,45,76,Fair / Windy
2018/1/3,11:30 AM,45,81,Light Rain Shower / Windy
2018/1/3,12:00 PM,45,76,Mostly Cloudy / Windy
2018/1/3,12:30 PM,45,81,Fair / Windy
2018/1/3,1:00 PM,45,81,Light Rain Shower / Windy
2018/1/3,1:30 PM,45,87,Light Rain Shower / Windy
2018/1/3,2:00 PM,46,76,Showers in the Vicinity
2018/1/3,2:30 PM,45,87,Light Rain Shower / Windy
2018/1/3,3:00 PM,46,76,Showers in the Vicinity
2018/1/3,3:30 PM,46,76,Partly Cloudy / Windy
2018/1/3,4:00 PM,46,76,Light Rain Shower / Windy
2018/1/3,4:30 PM,46,76,Mostly Cloudy / Windy
2018/1/3,5:00 PM,46,76,Mostly Cloudy / Windy
2018/1/3,5:30 PM,46,76,Mostly Cloudy / Windy
2018/1/3,6:00 PM,46,76,Mostly Cloudy / Windy
2018/1/3,6:30 PM,46,76,Mostly Cloudy / Windy
2018/1/3,7:00 PM,45,81,Mostly Cloudy / Windy
2018/1/3,7:30 PM,45,81,Mostly Cloudy / Windy
2018/1/3,8:00 PM,45,81,Mostly Cloudy / Windy
2018/1/3,8:30 PM,45,81,Mostly Cloudy / Windy
2018/1/3,9:00 PM,45,81,Partly Cloudy / Windy
2018/1/3,9:30 PM,45,81,Partly Cloudy / Windy
2018/1/3,10:00 PM,45,76,Partly Cloudy / Windy
2018/1/3,10:30 PM,45,76,Partly Cloudy / Windy
2018/1/3,11:00 PM,43,81,Partly Cloudy / Windy
2018/1/3,11:30 PM,43,81,Partly Cloudy
2018/1/4,12:00 AM,39,87,Mostly Cloudy
2018/1/4,12:30 AM,39,87,Mostly Cloudy
2018/1/4,1:00 AM,43,87,Mostly Cloudy
2018/1/4,1:30 AM,43,87,Mostly Cloudy
2018/1/4,2:00 AM,43,87,Mostly Cloudy
2018/1/4,2:30 AM,43,81,Mostly Cloudy
2018/1/4,3:00 AM,43,81,Light Rain
2018/1/4,3:30 AM,41,87,Rain
2018/1/4,4:00 AM,39,93,Rain
2018/1/4,4:30 AM,39,93,Rain
2018/1/4,5:00 AM,39,93,Rain
2018/1/4,5:30 AM,39,93,Rain
2018/1/4,6:00 AM,39,93,Rain
2018/1/4,6:30 AM,39,100,Rain
2018/1/4,7:00 AM,41,93,Rain / Windy
2018/1/4,7:30 AM,41,93,Rain / Windy
2018/1/4,8:00 AM,41,100,Mostly Cloudy
2018/1/4,8:30 AM,43,93,Mostly Cloudy
2018/1/4,9:00 AM,43,100,Light Rain
2018/1/4,9:30 AM,48,87,Mostly Cloudy
2018/1/4,10:00 AM,48,87,Light Rain
2018/1/4,10:30 AM,48,87,Mostly Cloudy
2018/1/4,11:00 AM,48,87,Mostly Cloudy
2018/1/4,11:30 AM,46,93,Light Rain / Windy
2018/1/4,12:00 PM,41,87,Mostly Cloudy / Windy
2018/1/4,12:30 PM,41,81,Partly Cloudy / Windy
2018/1/4,1:00 PM,39,87,Partly Cloudy / Windy
2018/1/4,1:30 PM,41,87,Light Drizzle / Windy
2018/1/4,2:00 PM,43,81,Mostly Cloudy / Windy
2018/1/4,2:30 PM,43,81,Partly Cloudy / Windy
2018/1/4,3:00 PM,45,76,Mostly Cloudy / Windy
2018/1/4,3:30 PM,43,81,Mostly Cloudy / Windy
2018/1/4,4:00 PM,43,81,Partly Cloudy / Windy
2018/1/4,4:30 PM,43,76,Fair / Windy
2018/1/4,5:00 PM,43,76,Fair / Windy
2018/1/4,5:30 PM,43,76,Partly Cloudy
2018/1/4,6:00 PM,41,81,Partly Cloudy
2018/1/4,6:30 PM,41,87,Mostly Cloudy
